软件名称,软件版本,依赖软件数,开发商,官网地址
hbase-shaded-netty,3.5.1,0,Apache,http://hbase.apache.org/
HDF5,1.10.8,0,Github,https://www.hdfgroup.org/solutions/hdf5/
HDiffPatch,v4.0.0,0,sisong,https://github.com/sisong/HDiffPatch
hdparm,9.63,0,Mark Lord,http://sourceforge.net/projects/hdparm/
headers,0.3.7,16,hyperium,https://github.com/hyperium/headers
heat,13.0.0,181,frontrange;openstack,https://opendev.org/openstack/heat
helm,v3.6.1,387,helm,https://helm.sh/
helm-2to3,v0.8.2,1,The Helm Project,https://github.com/helm/helm-2to3
Hessian Binary Web Service Protocol,4.0.65,0,"Caucho Technology, Inc.",http://hessian.caucho.com/
Hibernate,5.4.25.Final,41,Hibernate,http://hibernate.org/
Hibernate Commons Annotations,5.1.2.Final,1,hibernate,http://hibernate.org/; https://github.com/hibernate/hibernate-commons-annotations;
Hibernate Validator,6.2.1.Final,4,hibernate,https://hibernate.org/validator/
highlight.js,11.4.0,0,highlightjs,https://highlightjs.org/
HikariCP,4.0.3,1,brettwooldridge,https://github.com/brettwooldridge/HikariCP
hiredis,v1.0.2,0,redis,https://github.com/redis/hiredis
history,5.3.0,2,remix-run,https://github.com/remix-run/history
HK2,3.0.1,77,eclipse-ee4j,https://projects.eclipse.org/projects/ee4j.glassfish/developer
hnswlib,v0.4.0,0,nmslib,https://github.com/nmslib/hnswlib
hostapd,2.10,0,Jouni Malinen,http://w1.fi/hostapd/
hppc,0.9.1,0,carrotsearch,http://labs.carrotsearch.com/hppc.html
HTML2Canvas,1.3.2,5,niklasvh,https://html2canvas.hertzen.com/
htmlparser2,7.1.2,6,Felix B_hm,https://github.com/fb55/htmlparser2#readme
http-loader,6.0.0,1,ngx-translate,https://github.com/ngx-translate/http-loader
http-proxy-middleware,2.0.4,0,Steven Chim,https://github.com/chimurai/http-proxy-middleware
http-rs,0.2.4,3,hyperium,https://github.com/hyperium/http
httplib2,0.20.4,0,httplib2,https://github.com/httplib2/httplib2
huaweicloud-sdk-c-obs,3.19.9.3,6,huaweicloud,https://github.com/huaweicloud/huaweicloud-sdk-c-obs
huaweicloud-sdk-go-v3,v0.0.68,5,huaweicloud,https://github.com/huaweicloud/huaweicloud-sdk-go-v3/
huaweicloud-sdk-java-v3,3.0.65,7,huaweicloud,https://github.com/huaweicloud/huaweicloud-sdk-java-v3
hugegraph,0.12.0,4,Baidu,https://hugegraph.github.io/hugegraph-doc
hugegraph-client,2.0.0,41,HugeGraph,https://github.com/hugegraph/hugegraph-client
Hutool,5.6.0,0,Dromara,https://www.hutool.cn/
hwloc,2.4.1,0,openmpi,https://www.open-mpi.org/projects/hwloc/
hyavijava,6.0.05.1,8,frankyang,https://sourceforge.net/projects/vijava/
hyper,v0.14.18,0,hyperium,https://hyper.rs/
hyper,0.14.18,17,hyperium,https://hyper.rs/
HyperScan,5.4.0,1,Intel,https://www.hyperscan.io
HyperSQL Database Engine (HSQLDB) - hsqldb,2.6.1,0,The hsql Development Group,http://hsqldb.org/
i18next,20.6.0,2,i18next,http://i18next.com/
icalendar,4.0.7,3,collective,https://icalendar.readthedocs.io/en/latest/
ICU - International Components for Unicode,69.1,0,unicode-org,http://site.icu-project.org/
idna,3.3,0,kjd,https://github.com/kjd/idna
ietf-cms,v0.1.0,7,mastahyeti,https://github.com/github/ietf-cms
ifcopenshell,blenderbim-210831,6,IfcOpenShell,http://www.ifcopenshell.org/
imageio,2.16.1,2,imageio,http://imageio.github.io/
ImageMagick,7.1.0-7,0,ImageMagick,https://www.imagemagick.org/
ImageMagick,7.1.0-38,0,ImageMagick,https://www.imagemagick.org/
imbalanced-learn,0.9.0,5,The imbalanced-learn developers,https://imbalanced-learn.org/stable/install.html
imgui,1.87,0,Omar Cornut,https://github.com/ocornut/imgui
immutability-helper,3.1.1,0,kolodny,https://github.com/kolodny/immutability-helper
Implicit,0.4.4,3,Ben Frederickson,https://github.com/benfred/implicit
import-html-entry,1.11.1,0,kuitos,https://github.com/kuitos/import-html-entry#readme
infinispan,13.0.8.Final,27,infinispan,https://infinispan.org/
influxdb,v1.8.10,0,influxdata,http://www.influxdb.org
Influxdb-java,2.21,13,influxdata,https://www.influxdata.com/
influxdb-python,5.3.0,9,InfluxData,https://influxdata.com/
ingress-nginx,controller-v1.2.0,0,Kubernetes,https://kubernetes.github.io/ingress-nginx/
inih,r53,0,benhoyt,https://github.com/benhoyt/inih
initscripts,10.12,0,fedora-sysv,https://github.com/fedora-sysv/initscripts
inotify-tools,3.22.1.0,0,rvoicilas,https://github.com/inotify-tools/inotify-tools
insomniacslk/dhcp,v0.0.0-20201112113307-4de412bc85d8,58,insomniacslk,https://github.com/insomniacslk/dhcp
Intel OIDN,1.4.3,2,Intel,https://www.openimagedenoise.org/
intel-ipsec-mb,1.2,0,intel,https://github.com/intel/intel-ipsec-mb
IntelliJ IDEA - Community Edition,2021.3.3,174,JetBrains,http://www.jetbrains.com/idea/
Intellij/Android,studio-4.0.0,0,AOSP,https://developer.android.google.cn/?hl=zh-cn
IntelMediaSdk,19.4.0,0,Intel Software,http://mediasdk.intel.com/
interact.js,1.10.11,0,taye,http://interactjs.io
intl-plural-rules-polyfill,1.0.3,0,Nikolay catamphetamine,https://github.com/catamphetamine/intl-plural-rules-polyfill/
intl-relative-time-format,1.0.6,0,Frederik Wessberg,https://github.com/wessberg/intl-relative-time-format
ionic-framework,v6.1.5,5,ionic-team,https://ionicframework.com/
iotkit-embedded,3.2.0,0,aliyun,https://help.aliyun.com/document_detail/164249.html?spm=a2c4g.11174283.6.589.19983d6byO8R3d
IPAddress(java),5.3.3,0,seancfoley,https://seancfoley.github.io/IPAddress/
iperf,3.11,0,esnet,https://iperf.fr/
iproute2,5.15.0,4,linux,http://www.linuxfoundation.org/collaborate/workgroups/networking/iproute2
ipset,7.11,1,netfilter,http://www.netfilter.org/
iptables,1.8.7,0,netfilter,https://netfilter.org/projects/iptables/
ipvsadm,1.31,1,Linux,http://linux.die.net/man/8/ipvsadm
ipxe,v1.21.1,0,ipxe,http://ipxe.org/
ipython,7.31.1,13,ipython,https://github.com/ipython/ipython
ipywidgets,7.6.3,53,ipython,http://ipython.org/
IQKeyBoardManager,6.5.0,0,hackiftekhar,https://github.com/hackiftekhar/IQKeyboardManager
ironic,13.0.6,174,openstack,https://opendev.org/openstack/ironic
ironic-python-agent,5.0.3,84,openstack,https://opendev.org/openstack/ironic-python-agent
ISA-L,v2.30.0,0,Intel Corporation,https://www.intel.cn/content/www/cn/zh/homepage.html
isa-l_crypto,v2.24.0,0,Intel Open Source Technology Center,https://github.com/intel/isa-l_crypto
ISC DHCP,4.4.2,1,ISC,https://www.isc.org/dhcp/
isl,0.22.1,0,google,https://libisl.sourceforge.io/
ISPCTextureCompressor,14d998c02b71c356ff3a1ec1adc9243a517bbf38,0,Intel,https://www.intel.com/content/www/us/en/developer/articles/technical/fast-ispc-texture-compressor-update.html
iStack Common Utility Code,3.0.11,8,oracle,https://github.com/eclipse-ee4j/jaxb-istack-commons
istio,1.8.6,1302,Istio,https://github.com/istio/istio
itertools,v0.10.3,1,rust-itertools,https://github.com/rust-itertools/itertools
itsdangerous,2.0.0,0,pallets,https://itsdangerous.palletsprojects.com
ittapi,v3.18.9,0,intel,https://software.intel.com/content/www/us/en/develop/articles/intel-itt-api-open-source.html?language=it
jackson-annotations,2.13.2,0,FasterXML,https://github.com/FasterXML/jackson-annotations
jackson-core,2.13.2,0,FasterXML,https://github.com/FasterXML/jackson-core
jackson-databind,2.13.2.1,2,FasterXML,https://github.com/FasterXML/jackson-databind
jackson-dataformat-xml,2.13.2,5,FasterXML,https://github.com/FasterXML/jackson-dataformat-xml
jackson-dataformats-binary,2.13.2,13,FasterXML,https://github.com/FasterXML/jackson-dataformats-binary
jackson-dataformats-text,2.13.2,4,FasterXML,https://github.com/FasterXML/jackson-dataformats-text
Jackson-datatype-Joda,2.12.3,4,FasterXML,https://github.com/FasterXML/jackson-datatype-joda
jackson-datatype-json-org,2.13.2,9,Jackson Datatype JSON Org,https://github.com/FasterXML/jackson-datatypes-misc
jackson-jaxrs-providers,2.13.2,10,FasterXML,https://github.com/FasterXML/jackson-jaxrs-providers
jackson-module-afterburner,2.13.2,21,FasterXML,https://github.com/FasterXML/jackson-modules-base
jackson-module-jsonSchema,2.13.0,0,FasterXML,https://github.com/FasterXML/jackson-module-jsonSchema
jackson-module-scala,2.13.2,1,FasterXML,https://github.com/FasterXML/jackson-module-scala
jackson-modules-base,2.13.2,21,FasterXML,https://github.com/FasterXML/jackson-modules-base
jackson-modules-java8,2.13.2,3,FasterXML,https://github.com/FasterXML/jackson-modules-java8/
JacORB - the free Java ORB,3.9,16,jacorb,http://www.jacorb.org/
Jakarta Expression Language,3.0.4,0,Eclipse Foundation,https://projects.eclipse.org/projects/ee4j.el
Jakarta Mail,1.6.7,1,Eclipse,https://eclipse-ee4j.github.io/mail/
Jakarta RESTful Web Services,3.0.0,0,eclipse,https://projects.eclipse.org/projects/ee4j.jaxrs
Jakarta Servlet,4.0.4,0,Eclipse Foundation,https://projects.eclipse.org/projects/ee4j.servlet
Janino,3.1.6,0,janino-compiler,https://janino-compiler.github.io/janino/
jansson,2.14,0,akheron,http://www.digip.org/jansson
jasper-jsp,8.5.54,2,jetty-project,https://github.com/jetty-project/jasper-jsp
JasperReports Library - jasperreports,6.19.0,8,TIBCO Software Inc.,http://jasperforge.org/project/jasperreports-library
Jaspersoft Studio,6.19.0,7,TIBCO Software Inc.,https://community.jaspersoft.com/project/jaspersoft-studio
Jasypt Spring Boot,3.0.4,10,ulisesbocchio,https://github.com/ulisesbocchio/jasypt-spring-boot
jasypt: java simplified encryption,1.9.3,1,jasypt,http://www.jasypt.org
Java Apereo CAS Client,3.6.2,11,apereo,https://github.com/apereo/java-cas-client
Java Native Access - JNA,5.10.0,0,twall,https://github.com/java-native-access/jna
Java Uuid Generator (JUG),4.0.1,1,cowtowncoder,https://github.com/cowtowncoder/java-uuid-generator
java-classmate,1.5.1,0,FasterXML,https://github.com/FasterXML/java-classmate
java-diff-utils,4.11,0,google,http://code.google.com/p/java-diff-utils/
java-jwt,3.19.1,3,Auth0,https://github.com/auth0/java-jwt
java-vector-tile,1.3.16,2,ElectronicChartCentre,http://www.ecc.no/£»https://github.com/ElectronicChartCentre/java-vector-tile
Java-WebSocket,1.5.1,0,N/A,http://tootallnate.github.io/Java-WebSocket/
java-xmlbuilder,1.3,1,jmurty,https://github.com/jmurty/java-xmlbuilder
javacv,1.5.7,20,bytedeco,https://github.com/bytedeco/javacv
javalite,javalite-2.6-j8,96,Javalite,http://javalite.io/
javapoet,1.13.0,0,Square,https://github.com/square/javapoet
javaswift/joss,0.10.4,0,javaswift,http://javaswift.org/
jaxb-ri,3.0.1,8,Eclipse,https://projects.eclipse.org/projects/ee4j.jaxb-impl
JBoss - Javassist,3.28.0-GA,0,javassist,http://www.javassist.org/
JBoss Logging 3,3.4.3.Final,0,jboss-logging,https://github.com/jboss-logging/jboss-logging.git
jca-api,2.0.0,2,eclipse-ee4j,https://github.com/eclipse-ee4j/jca-api
jcifs-ng,jcifs-ng-2.1.4,2,AgNO3,https://github.com/AgNO3/jcifs-ng
jcommander,1.82,0,cbeust,https://jcommander.org/
jedis,3.6.3,2,redis,https://github.com/redis/jedis
jemalloc,5.2.1,0,jemalloc,http://jemalloc.net/
jemallocator,0.3.2,0,gnzlbg,https://github.com/gnzlbg/jemallocator
jenkins,2.332.3,0,jenkinsci,https://jenkins.io/
jenkins,2.319.3,0,jenkinsci,https://jenkins.io/
Jenkins Remoting,4.10.1,0,jenkinsci,https://www.jenkins.io/projects/remoting/
jenkinsci/configuration-as-code-plugin,1.55.1,2,jenkinsci,https://plugins.jenkins.io/configuration-as-code
jenkinsci/tikal-multijob-plugin,1.36,36,jenkinsci,https://plugins.jenkins.io/jenkins-multijob-plugin/
jerryscript,v 2.3.0,0,jerryscript-project,https://jerryscript.net
jersey,2.34,216,jersey,https://projects.eclipse.org/projects/ee4j.jersey
JetBrains Runtime,11_0_14_1-b2043.25,0,JetBrains,https://github.com/JetBrains/JetBrainsRuntime
JetBrains/android,idea/203.6682.168,0,JetBrains,https://github.com/JetBrains/android
jetcache,v2.6.5,43,alibaba,https://github.com/alibaba/jetcache
jetcache,v2.6.2,30,alibaba,https://github.com/alibaba/jetcache
jetcd,0.5.8,36,etcd-io,https://github.com/etcd-io/jetcd
Jetty - Java HTTP Servlet Server,9.4.48.v20220622,127,eclipse,https://www.eclipse.org/jetty
Jetty - Java HTTP Servlet Server,9.4.46.v20220331,120,eclipse,https://www.eclipse.org/jetty
JFreeChart,1.5.1,0,jfree,http://www.jfree.org/jfreechart
JGProgressHUD,2.2,0,github,https://github.com/JonasGessner/JGProgressHUD
JGraphT,1.4.0,7,JGraphT,https://jgrapht.org/
jgraphx,4.2.2,0,jgraph,https://github.com/jgraph/jgraphx
JGroups,4.2.21.Final,0,belaban,http://www.jgroups.org
jieba,0.40,0,"Sun, Junyi",https://github.com/fxsjy/jieba
jimtcl,0.80,0,Steve Bennett,http://jim.tcl.tk/index.html/doc/www/www/index.html
jinja2,2.11.3,1,pallets,https://pypi.org/project/Jinja2/
jjwt,0.11.2,5,jwtk,https://github.com/jwtk/jjwt
jline3,3.21.0,12,jline,https://github.com/jline/jline3
jmespath.py,1.0.0,0,jmespath,https://jmespath.org/
jmockit,1.49,0,jmockit,https://jmockit.github.io/
jms-api,2.0.3,0,Jakarta EE,https://github.com/eclipse-ee4j/jms-api
jmx_exporter,0.16.1,2,Prometheus,https://github.com/prometheus/jmx_exporter
joblib,0.17.0,0,joblib,https://github.com/joblib/joblib
Joda-Time,2.10.13,0,JodaOrg,http://www.joda.org/joda-time/
Jodd,v5.3.0,9,oblac,https://jodd.org/
JointJS,3.4.3,6,client IO,https://www.jointjs.com/
jOOL,0.9.14,0,Data Geekery,https://www.jooq.org/products/
jpa-api,3.0.0,0,eclipse-ee4j,https://github.com/eclipse-ee4j/jpa-api
JPype,v1.2.1,0,jpype-project,https://github.com/jpype-project/jpype
jQuery JavaScript Library,3.6.0,0,jQuery,http://jquery.com
jQuery UI Layout,1.9.0,2,Kevin Dalman,https://github.com/GedMarc/layout
jQuery-contextMenu,2.9.2,1,SWIS,https://github.com/swisnl/jQuery-contextMenu
jquery-form,4.3.0,1,Kevin Morris,https://github.com/jquery-form/form
jquery-ui,1.13.0,1,jquery,http://jqueryui.com/
jquery-validation,1.19.4,0,jquery-validation,https://jqueryvalidation.org
jquery-validation,1.19.3,0,jquery-validation,https://jqueryvalidation.org
jquery.i18n,V1.0.7,0,Wikimedia,https://www.wikimedia.org/
jquery.terminal,2.32.1,12,jcubic,https://terminal.jcubic.pl/
JRuby,9.3.3.0,19,none,NA
js-base64,3.7.2,0,dankogai,https://github.com/dankogai/js-base64
js-beautify,1.14.2,23,beautify-web,https://github.com/beautify-web/js-beautify
js-cookie,3.0.1,0,js-cookie,https://github.com/js-cookie/js-cookie
js-yaml,3.14.0,3,NA,https://github.com/nodeca/js-yaml
jscep,2.5.4,6,jscep,https://github.com/jscep/jscep
jsdiff,5.0.0,0,kpdecker,https://github.com/kpdecker/jsdiff
jsdom,19.0.0,58,jsdom,http://github.com/tmpvar/jsdom/
jSerialComm,v2.9.1,0,Fazecast inc.,http://fazecast.github.io/jSerialComm/
jsmpp,2.3.11,1,opentelecoms-org,https://jsmpp.org/
JSON Editor,2.6.1,1,json-editor,https://github.com/json-editor
JSON for Modern C++,3.10.1,0,Niels Lohmann,https://github.com/nlohmann/json
JSON in Java,20220320,0,stleary,https://github.com/stleary/JSON-java
JSON-C,0.15-20200726,0,JSON-C,https://github.com/json-c/json-c
json-iterator/go,v1.1.10,7,json-iterator,http://jsoniter.com/migrate-from-go-std.html
json-rpc,1.13.0,0,pavlov99,https://github.com/pavlov99/json-rpc
json-sanitizer,1.2.2,0,OWASP,https://github.com/OWASP/json-sanitizer
json-schema,1.13.0,9,everit-org,https://github.com/everit-org/json-schema
json-schema-traverse,1.0.0,0,epoberezkin,https://github.com/epoberezkin/json-schema-traverse
json-schema-validator,2.2.14,21,java-json-tools,https://github.com/java-json-tools/json-schema-validator
jsonCpp,00.11.0,0,open-source-parsers,https://github.com/open-source-parsers/jsoncpp.git
jsoneditor,v9.5.6,15,josdejong,https://github.com/josdejong/jsoneditor
JSONModel,1.8.0,0,JSONModel,https://github.com/jsonmodel/jsonmodel
jsonparser,v1.1.1,0,buger,https://github.com/buger/jsonparser
JsonPath,2.5.0,4,json-path,https://github.com/json-path/JsonPath
jsonpath-ng,1.5.3,3,h2non,https://github.com/h2non/jsonpath-ng
jsonpickle,1.5.2,2,jsonpickle,https://github.com/jsonpickle/jsonpickle
jsonrpc,18.0.0,0,paritytech,https://github.com/paritytech/jsonrpc
jsonrpc-websocket,3.1.0,9,emlove,https://github.com/emlove/jsonrpc-websocket
jsonschema,4.4.0,6,openstack-archive,http://openstack.org
jsoup,1.14.2,0,Jonathan Hedley,http://jsoup.org/
jsp-api,2.3.6-RELEASE,2,eclipse-ee4j,https://github.com/eclipse-ee4j/jsp-api
jspdf,2.3.1,18,Parallax Agency Ltd,https://parall.ax/products/jspdf
jsplumb,5.4.1,0,JSPLUMB PTY LTD,https://jsplumbtoolkit.com/
jspreadsheet/ce,4.6.0,1,jspreadsheet,https://github.com/jspreadsheet/ce
JSqlParser,3.2,0,aws,https://github.com/JSQLParser/JSqlParser
jsr107spec - jcache,1.1.1,0,jsr107,https://github.com/jsr107/jsr107spec
jsrsasign,10.5.25,1,Kenji Urushima,https://github.com/kjur/jsrsasign
jsrsasign,10.3.0,0,Kenji Urushima,https://github.com/kjur/jsrsasign
JSTL - JavaServer Pages Standard Tag Library,3.0.0-RELEASE,3,eclipse-ee4j,https://github.com/eclipse-ee4j/jstl-api
jsTree,3.3.11,1,vakata,http://www.jstree.com/
jszip,3.7.0,12,Stuk,https://github.com/Stuk/jszip.git
jta-api,1.3.3,0,eclipse,https://projects.eclipse.org/projects/ee4j.jta
JTCalendar,2.2.6,0,Jonathan Tribouharet (@johntribouharet),https://github.com/jonathantribouharet/JTCalendar
JTS Topology Suite,jts-1.18.1,3,locationtech,https://github.com/locationtech/jts
juggle/resize-observer,v3.3.1,0,Juggle,https://juggle.studio/resize-observer/
JUnit,4.13.1,0,junit-team,https://junit.org/junit4
juniversalchardet,2.4.0,0,albfernandez,https://github.com/albfernandez/juniversalchardet
junixsocket,2.4.0,16,kohlschutter,https://github.com/kohlschutter/junixsocket
junkurihara/jscu,1.0.0,0,junkurihara,https://github.com/junkurihara/jscu
junrar,7.4.1,1,junrar,https://github.com/junrar/junrar
jupyterhub,2.2.0,38,Jupyter,http://jupyter.org/
jupyterhub,1.2.2,38,Jupyter,http://jupyter.org/
jupyterhub-kubespawner,3.0.2,55,jupyter.org,https://github.com/jupyterhub/kubespawner
jupyterhub-kubespawner,0.12.0,57,jupyter.org,https://github.com/jupyterhub/kubespawner
jupyterlab,2.2.10,60,JupyterLab,https://github.com/jupyterlab/jupyterlab
jupyterlab-server,1.2.0,59,pallets,https://github.com/jupyterlab/jupyterlab_server
jXLS,2.11.0,14,jxls,http://jxls.sf.net
Jython,2.7.2,28,jythontools,http://www.jython.org/
k3s-io/kine,v0.4.0,383,k3s-io,https://github.com/k3s-io/kine
kafka-manager,3.0.0.5,0,yahoo,https://github.com/yahoo/kafka-manager
kafka-python,2.0.2,1,Python Software Foundation,http://kafka-python.readthedocs.io/
kafka_exporter,1.3.1,0,Daniel (Shijun) Qian,http://danielqsj.github.io/
Kaldi,5.4.271,0,kaldi-asr,http://www.kaldi-asr.org/
kardianos/service,v1.1.0,1,kardianos,https://github.com/kardianos/service
kazoo,2.8.0,35,python-zk,https://kazoo.readthedocs.io/en/latest
kbuild-standalone,v5.10,0,WangNan0,https://github.com/WangNan0/kbuild-standalone
kcp,1.7,0,skywind3000,https://github.com/skywind3000/kcp
Keepalived,2.2.4,1,Alexandre Cassen,http://www.keepalived.org/
keras,2.6.0,0,keras-team,https://keras.io/
Kerberos 5 (KRB5),1.19.2,0,MIT Kerberos,http://web.mit.edu/kerberos/
kexec-tools,2.0.23,2,Linux,https://projects.horms.net/projects/kexec/
keyboard,v0.13.5,0,boppreh,https://github.com/boppreh/keyboard
keycloak,18.0.2,0,Keycloak,https://www.keycloak.org/
keycloak,17.0.1,0,Keycloak,https://www.keycloak.org/
keyring,23.4.0,0,jaraco,https://github.com/jaraco/keyring
keyring,19.1.0,0,jaraco,https://github.com/jaraco/keyring
keystone,16.0.1,133,openstack,https://opendev.org/openstack/keystone
keystonemiddleware,9.3.0,42,openstack,https://github.com/openstack/keystonemiddleware
Khronos Group - EGL,1.5,0,KhronosGroup,http://www.khronos.org/registry/egl
Khronos Group - OpenCL - Headers,v2020.12.18,0,Khronos,https://www.khronos.org/
Khronos Group - OpenGL ES,a301c9b4600e4074008b93fba17744a859fb763b,0,Khronos,https://www.khronos.org/
Khronos Group - OpenMAX IL,1.1.2,0,The Khronos Group Inc,http://www.khronos.org/openmax/
Khronos Group - OpenSL ES,1.0.1,0,Khronos Group,https://www.khronos.org/registry/OpenSL-ES/
Khronos Group - Vulkan,v1.2.201,0,Khronos,https://www.khronos.org/vulkan/
kibana-oss,7.10.2,0,elastic,https://www.elastic.co/products/kibana
kissfft,131.1.0,0,mborgerding,https://github.com/mborgerding/kissfft
KissXML,5.3.3,0,robbiehanson,http://github.com/robbiehanson/KissXML
kmod,29,1,Linux,http://git.kernel.org/?p=utils/kernel/kmod/kmod.git;a=summary
kmod-nat46,OpenWrt-21.02.0,0,OpenWrt,https://openwrt.org/packages/pkgdata/kmod-nat46
koin,3.1.6,0,InsertKoinIO,https://insert-koin.io/
kong,2.5.0,59,Kong,https://konghq.com/kong
Konva,8.2.2,0,konvajs,http://konvajs.org/
Kotlin,v1.4.30,3,JetBrains,http://kotlinlang.org/
kotlinx-coroutines,1.4.0,10,Kotlin,https://github.com/Kotlin/kotlinx.coroutines
kpatch,0.9.5,2,dynup,https://github.com/dynup/kpatch
krallin/tini,v0.19.0,0,krallin,https://github.com/krallin/tini
kryo,5.3.0,7,Esoteric Software,https://github.com/EsotericSoftware/kryo
kryo-serializers,0.45,1,magro,https://github.com/magro/kryo-serializers
ksmbd,3.4.4,0,cifsd-team,https://github.com/cifsd-team/ksmbd
ksmbd-tools,3.4.4,0,cifsd-team,https://github.com/cifsd-team/ksmbd-tools
KSPhotoBrowser,0.3.1,1,Kyle Sun,https://github.com/skx926/KSPhotoBrowser
kuba-zip,0.1.19,0,kuba,https://github.com/kuba--/zip
kube-state-metrics,v2.1.0,0,google,https://kubernetes.io
kubeedge,v1.6.1,859,KubeEdge,https://kubeedge.io
kubernetes,v1.22.1,413,kubernetes,http://kubernetes.io/
kubernetes,v1.19.4,241,kubernetes,http://kubernetes.io/
kubernetes-client,5.12.0,40,fabric8io,https://fabric8.io/
kubernetes-client,5.11.0,39,fabric8io,https://fabric8.io/
kubernetes-client/java,11.0.2,20,Kubernetes Clients,https://kubernetes.io/docs/reference/using-api/client-libraries/
kubernetes-client/python,v18.20.0,17,Kubernetes,http://kubernetes.io/
kubernetes-event-exporter,v0.11,505,Opsgenie,https://github.com/opsgenie/kubernetes-event-exporter
kubernetes-sigs/yaml,v1.3.0,3,kubernetes-sigs,https://github.com/kubernetes-sigs/yaml
kudu,1.15.0,37,Apache,http://kudu.apache.org/
Kunpeng HyperScan,5.3.0,0,Huawei Kunpeng,https://github.com/kunpengcompute/hyperscan
Kunpeng KAE driver,1.3.10,0,Kunpeng,https://www.huaweicloud.com/kunpeng/
kxml2,2.5.0,0,Stefan Haustein,https://github.com/stefanhaustein/kxml2
La MaraDNS,3.5.0015,0,Sam Trenholme,http://maradns.samiam.org/index.html
labstack/echo,4.4.0,31,LabStack,https://echo.labstack.com/
Lame - Lame Aint an MP3 Encoder,3.100,0,lame,http://lame.sourceforge.net/
LAPACK_Linear Algebra PACKage,3.10.0,0,Netlib,https://www.netlib.org/lapack
LatLongToTimezone,1.1.6,0,Github,https://github.com/drtimcooper/LatLongToTimezone
layer,v3.5.1,0,layui,https://layui.gitee.io/v2/layer/
layui,2.6.8,0,LayUI,https://github.com/sentsin/layui
lazy-static.rs,1.4.0,0,rust-lang-nursery,https://github.com/rust-lang-nursery/lazy-static.rs
ldap,v3.4.2,2,go-ldap,https://github.com/go-ldap/ldap
Leaflet,1.7.1,0,Leaflet,http://leafletjs.com
Leonids,1.3.2,0,plattysoft,https://github.com/plattysoft/Leonids
leshan,1.3.2,5,eclipse,https://github.com/eclipse/leshan;https://eclipse.org/leshan
Less,590,1,GNU,http://www.greenwoodsoftware.com/less/
less.js,4.1.1,19,less,http://lesscss.org/
lettuce,6.1.6.RELEASE,4,lettuce-io,http://github.com/lettuce-io/lettuce-core
LevelDB,1.23,0,google,https://github.com/google/leveldb
libaio,0.3.112,0,jmoyer,https://pagure.io/libaio
libbpf,0.7.0,0,libbpf,https://github.com/libbpf
libc,0.2.100,0,The Rust Programming Language,https://github.com/rust-lang/libc
libcap,2.61,1,Linux,https://sites.google.com/site/fullycapable/release-notes-for-libcap
libcap-ng,0.8.2,0,stevegrubb,https://people.redhat.com/sgrubb/libcap-ng/
libcbor,0.9.0,0,libcbor,https://github.com/PJK/libcbor
libcgroup/libcgroup,v2.0,2,libcgroup,https://github.com/libcgroup/libcgroup
libcoap: C-Implementation of CoAP,4.3.0,0,Olaf Bergmann bergmann@tzi.org and others,https://libcoap.net/
libcuckoo,v0.3,0,Efficient Computing at Carnegie Mellon,https://github.com/efficient/libcuckoo
libdeflate,v1.7,0,Eric Biggers,https://github.com/ebiggers/libdeflate
libdrm,2.4.102,0,freedreno-zz,https://gitlab.freedesktop.org/mesa/drm
libE57Format,2.2.0,0,Andy Maloney,https://github.com/asmaloney/libE57Format
libevdev,1.10,0,freedesktop.org,https://www.freedesktop.org/wiki/Software/libevdev/
libevent,2.1.12,1,libevent,https://libevent.org/
libffi,3.3,0,libffi,https://sourceware.org/libffi/
libfuse,3.10.5,0,libfuse,https://github.com/libfuse/libfuse
libgd,2.3.3,22,libgd,https://libgd.github.io/
libgdx,gdx-parent-1.9.11,14,libgdx,http://www.libgdx.com/
libguestfs,v1.48.4,0,libguestfs,https://libguestfs.org/
libguestfs,v1.48.0,0,libguestfs,https://libguestfs.org/
libhugetlbfs,2.23,0,libhugetlbfs,http://libhugetlbfs.sourceforge.net/
libiconv,1.16,0,Free Software Foundation (FSF),http://www.gnu.org/software/libiconv/
libinput,1.16.4,0,Wayland,https://www.freedesktop.org/wiki/Software/libinput/
libjpeg,9e,0,IJG,https://www.ijg.org/
libjpeg-turbo,2.0.5,0,libjpeg-turbo,https://libjpeg-turbo.org/
LIBLINEAR,v244,0,Chih-Jen Lin,https://www.csie.ntu.edu.tw/~cjlin/liblinear/
libloading,0.6.5,1,nagisa,https://github.com/nagisa/rust_libloading/
libmaxminddb,1.6.0,0,MaxMind,https://maxmind.github.io/libmaxminddb/
libnetconf2,v2.1.7,3,CESNET,https://github.com/CESNET/libnetconf2
libnetconf2,v1.1.46,3,CESNET,https://github.com/CESNET/libnetconf2
libnfc-nci,NFC_AR_00_E800_12.10.00_OpnSrc,0,NXP Semiconductors,https://github.com/NXPNFCProject/NFC_NCIHAL_libnfc-nci/
LIBNFS,libnfs-5.0.1,0,Ronnie Sahlberg,https://github.com/sahlberg/libnfs
libnl3,3.5.0,0,Thomas Haller,http://www.infradead.org/~tgr/libnl/
libogg,1.3.4,0,Xiph.Org,http://xiph.org/ogg/
libpcap,1.10.1,0,The Tcpdump Group,http://www.tcpdump.org/
libphonenumber,8.12.48,0,google,https://github.com/googlei18n/libphonenumber/
